id_sinistre,annee,mois,date_declaration,code_chantier,nom_chantier,type_travaux,departement,phase_chantier,nature_sinistre,tiers_implique,engin_implique,assureur,montant_declare_fcfa,franchise_fcfa,montant_indemnise_fcfa,delai_declaration_jours,delai_reglement_jours,statut_dossier,responsabilite
TRC-2022-001,2022,4,2022-04-13,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Gros œuvre,Conduite eau endommagée,SONEB,Pelle hydraulique,NSIA Bénin,1858000,1016000,,8,,En expertise,PORTEO entière
TRC-2022-002,2022,10,2022-10-19,CH-029,Route Covè-Zagnanado,Terrassement,Zou,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Camion benne,UAB,2780000,1208000,,21,,En cours,PORTEO entière
TRC-2022-003,2022,8,2022-08-07,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Terrassement,Dommages propriété riveraine,Riverain particulier,Chargeur,NSIA Bénin,4284000,984000,2571000.0,20,156.0,Litigieux,PORTEO partielle
TRC-2022-004,2022,1,2022-01-17,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Finition,Effondrement de talus,Collectivité locale,Chargeur,NSIA Bénin,17294000,375000,16101000.0,11,45.0,Litigieux,PORTEO partielle
TRC-2022-005,2022,10,2022-10-08,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Terrassement,Dommages propriété riveraine,Riverain particulier,Niveleuse,UAB,2637000,682000,1562000.0,6,184.0,Réglé,PORTEO entière
TRC-2022-006,2022,5,2022-05-13,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Niveleuse,NSIA Bénin,10215000,485000,0.0,4,,Refusé,PORTEO partielle
TRC-2022-007,2022,8,2022-08-05,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Gros œuvre,Effondrement de talus,Collectivité locale,Finisseur asphalte,COLINA,17836000,1470000,12040000.0,7,151.0,Réglé,PORTEO partielle
TRC-2022-008,2022,7,2022-07-14,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Terrassement,Effondrement de talus,Collectivité locale,Compacteur,SOBAC,11413000,571000,7610000.0,18,172.0,Réglé,PORTEO partielle
TRC-2022-009,2022,5,2022-05-18,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Réception,Câble SBEE sectionné,SBEE,Rouleau vibrant,SOBAC,2393000,982000,,4,,En cours,PORTEO entière
TRC-2022-010,2022,4,2022-04-24,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Réception,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Rouleau vibrant,SOBAC,5220000,1235000,2871000.0,4,201.0,Réglé,PORTEO entière
TRC-2022-011,2022,9,2022-09-18,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Gros œuvre,Conduite eau endommagée,SONEB,Rouleau vibrant,COLINA,1096000,1384000,0.0,12,161.0,Réglé,PORTEO entière
TRC-2022-012,2022,7,2022-07-26,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Terrassement,Câble SBEE sectionné,SBEE,Camion benne,NSIA Bénin,2398000,1407000,,17,,En cours,PORTEO partielle
TRC-2022-013,2022,8,2022-08-19,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Terrassement,Conduite eau endommagée,SONEB,Camion benne,SAAR-Bénin,1616000,1185000,356000.0,6,77.0,Réglé,PORTEO entière
TRC-2022-014,2022,8,2022-08-09,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Gros œuvre,Câble SONEB sectionné,SONEB,Niveleuse,SAAR-Bénin,382000,1025000,0.0,9,213.0,Litigieux,PORTEO entière
TRC-2022-015,2022,7,2022-07-26,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Terrassement,Effondrement de talus,Collectivité locale,Finisseur asphalte,BGFA Bénin,2898000,401000,2354000.0,14,84.0,Réglé,PORTEO partielle
TRC-2022-016,2022,5,2022-05-15,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Conduite eau endommagée,SONEB,Pelle hydraulique,Allianz Bénin,1038000,1181000,0.0,16,238.0,Réglé,PORTEO partielle
TRC-2022-017,2022,6,2022-06-10,CH-016,Route Djougou-Bassila,Terrassement,Donga,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,NSIA Bénin,1719000,939000,689000.0,11,166.0,Réglé,PORTEO entière
TRC-2022-018,2022,11,2022-11-15,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Réception,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,COLINA,3566000,1119000,2297000.0,10,208.0,Réglé,PORTEO entière
TRC-2022-019,2022,6,2022-06-09,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Gros œuvre,Câble SONEB sectionné,SONEB,Compacteur,COLINA,665000,769000,,12,,En cours,PORTEO partielle
TRC-2022-020,2022,9,2022-09-06,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Conduite eau endommagée,SONEB,Chargeur,Allianz Bénin,650000,1298000,0.0,11,71.0,Réglé,PORTEO partielle
TRC-2022-021,2022,5,2022-05-02,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Terrassement,Conduite eau endommagée,SONEB,Bulldozer,SOBAC,3167000,1013000,,5,,En expertise,PORTEO entière
TRC-2022-022,2022,3,2022-03-20,CH-005,Drainage Abomey-Calavi Nord,Drainage/assainissement,Atlantique,Gros œuvre,Câble SBEE sectionné,SBEE,Bulldozer,SOBAC,2737000,1077000,,7,,En expertise,PORTEO entière
TRC-2022-023,2022,5,2022-05-15,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Chargeur,SAAR-Bénin,12059000,1407000,8639000.0,7,215.0,Réglé,PORTEO partielle
TRC-2022-024,2022,10,2022-10-09,CH-025,Route Savalou-Bantè,Terrassement,Collines,Terrassement,Câble SONEB sectionné,SONEB,Rouleau vibrant,Allianz Bénin,500000,1495000,0.0,21,90.0,Réglé,PORTEO entière
TRC-2022-025,2022,6,2022-06-21,CH-016,Route Djougou-Bassila,Terrassement,Donga,Installation chantier,Câble SONEB sectionné,SONEB,Rouleau vibrant,SOBAC,812000,818000,,10,,En cours,PORTEO entière
TRC-2022-026,2022,3,2022-03-03,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Terrassement,Conduite eau endommagée,SONEB,Pelle hydraulique,NSIA Bénin,1503000,835000,,14,,En expertise,PORTEO entière
TRC-2022-027,2022,5,2022-05-23,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Bulldozer,COLINA,6169000,918000,4346000.0,9,156.0,Litigieux,PORTEO entière
TRC-2022-028,2022,1,2022-01-23,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Terrassement,Dommages propriété riveraine,Riverain particulier,Camion benne,UAB,3689000,942000,0.0,3,,Refusé,PORTEO entière
TRC-2022-029,2022,8,2022-08-21,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Finition,Câble SBEE sectionné,SBEE,Camion benne,SOBAC,2227000,708000,,8,,En expertise,PORTEO partielle
TRC-2022-030,2022,4,2022-04-02,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Terrassement,Conduite eau endommagée,SONEB,Rouleau vibrant,SOBAC,1205000,768000,384000.0,8,169.0,Réglé,PORTEO entière
TRC-2022-031,2022,4,2022-04-07,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,NSIA Bénin,2155000,887000,1066000.0,3,123.0,Réglé,PORTEO entière
TRC-2022-032,2022,6,2022-06-11,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Installation chantier,Dommages propriété riveraine,Riverain particulier,Niveleuse,SOBAC,8309000,554000,,20,,En cours,PORTEO entière
TRC-2022-033,2022,5,2022-05-03,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Installation chantier,Dommages propriété riveraine,Riverain particulier,Niveleuse,NSIA Bénin,2978000,323000,2285000.0,7,107.0,Litigieux,PORTEO partielle
TRC-2022-034,2022,8,2022-08-10,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Installation chantier,Dommages propriété riveraine,Riverain particulier,Compacteur,NSIA Bénin,1677000,505000,1070000.0,8,72.0,Réglé,PORTEO entière
TRC-2022-035,2022,7,2022-07-26,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Gros œuvre,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Niveleuse,SAAR-Bénin,6089000,689000,0.0,8,,Refusé,PORTEO entière
TRC-2022-036,2022,9,2022-09-19,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Terrassement,Câble SBEE sectionné,SBEE,Compacteur,COLINA,1583000,469000,981000.0,3,186.0,Réglé,PORTEO entière
TRC-2022-037,2022,4,2022-04-26,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Terrassement,Conduite eau endommagée,SONEB,Pelle hydraulique,Allianz Bénin,1586000,489000,,4,,En expertise,PORTEO entière
TRC-2022-038,2022,9,2022-09-19,CH-029,Route Covè-Zagnanado,Terrassement,Zou,Gros œuvre,Câble SBEE sectionné,SBEE,Rouleau vibrant,UAB,1054000,1251000,0.0,9,81.0,Réglé,PORTEO entière
TRC-2022-039,2022,11,2022-11-20,CH-023,Pont sur Alibori à Kandi,Ouvrage d'art,Alibori,Terrassement,Câble SONEB sectionné,SONEB,Pelle hydraulique,COLINA,528000,900000,0.0,9,122.0,Litigieux,PORTEO entière
TRC-2022-040,2022,5,2022-05-17,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Finition,Conduite eau endommagée,SONEB,Camion benne,NSIA Bénin,1576000,1484000,76000.0,8,205.0,Réglé,PORTEO partielle
TRC-2022-041,2022,3,2022-03-05,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Finition,Effondrement de talus,Collectivité locale,Camion benne,Allianz Bénin,11233000,897000,9715000.0,15,58.0,Réglé,PORTEO entière
TRC-2022-042,2022,5,2022-05-20,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Installation chantier,Effondrement de talus,Collectivité locale,Rouleau vibrant,COLINA,8223000,425000,6548000.0,5,85.0,Réglé,PORTEO partielle
TRC-2022-043,2022,2,2022-02-08,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Gros œuvre,Câble téléphonique sectionné,Bénin Télécom / MTN,Compacteur,BGFA Bénin,593000,803000,,5,,En cours,PORTEO partielle
TRC-2022-044,2022,6,2022-06-04,CH-008,RN3 Kandi-Ségbana,Terrassement,Alibori,Finition,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,Allianz Bénin,2542000,751000,1473000.0,8,169.0,Réglé,PORTEO entière
TRC-2022-045,2022,11,2022-11-15,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Terrassement,Câble SBEE sectionné,SBEE,Compacteur,SAAR-Bénin,1374000,1164000,,6,,En cours,Tiers responsable
TRC-2022-046,2022,1,2022-01-19,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Terrassement,Câble SBEE sectionné,SBEE,Niveleuse,BGFA Bénin,2085000,859000,1101000.0,21,101.0,Réglé,PORTEO partielle
TRC-2022-047,2022,11,2022-11-19,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Terrassement,Effondrement de talus,Collectivité locale,Rouleau vibrant,SAAR-Bénin,5809000,1328000,4297000.0,2,196.0,Réglé,PORTEO entière
TRC-2022-048,2022,9,2022-09-24,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Terrassement,Câble SONEB sectionné,SONEB,Niveleuse,COLINA,1959000,995000,,2,,En expertise,PORTEO entière
TRC-2022-049,2022,7,2022-07-02,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Gros œuvre,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Rouleau vibrant,UAB,4679000,905000,3029000.0,9,223.0,Réglé,PORTEO partielle
TRC-2022-050,2022,2,2022-02-25,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Installation chantier,Dommages propriété riveraine,Riverain particulier,Camion benne,Allianz Bénin,1138000,562000,439000.0,16,68.0,Réglé,PORTEO entière
TRC-2022-051,2022,10,2022-10-24,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Installation chantier,Câble SONEB sectionné,SONEB,Chargeur,SOBAC,1309000,1226000,,16,,En expertise,PORTEO entière
TRC-2022-052,2022,9,2022-09-01,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Terrassement,Conduite eau endommagée,SONEB,Compacteur,BGFA Bénin,1144000,1129000,12000.0,4,237.0,Réglé,PORTEO entière
TRC-2022-053,2022,8,2022-08-11,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Installation chantier,Accident corporel sur chantier,Travailleur / sous-traitant,Pelle hydraulique,SAAR-Bénin,8007000,1392000,4719000.0,13,143.0,Réglé,PORTEO entière
TRC-2022-054,2022,4,2022-04-18,CH-023,Pont sur Alibori à Kandi,Ouvrage d'art,Alibori,Gros œuvre,Câble SONEB sectionné,SONEB,Bulldozer,SOBAC,1534000,546000,0.0,17,,Refusé,PORTEO entière
TRC-2022-055,2022,9,2022-09-25,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Gros œuvre,Effondrement de talus,Collectivité locale,Camion benne,COLINA,13194000,1204000,,15,,En cours,PORTEO entière
TRC-2022-056,2022,5,2022-05-03,CH-012,RN7 Lokossa-Athiémé,Terrassement,Mono,Installation chantier,Câble SBEE sectionné,SBEE,Camion benne,UAB,5171000,932000,3750000.0,21,218.0,Réglé,PORTEO partielle
TRC-2023-057,2023,10,2023-10-23,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Finition,Incendie de matériel,PORTEO BTP (bien propre),Finisseur asphalte,Allianz Bénin,13809000,526000,,11,,En expertise,PORTEO entière
TRC-2023-058,2023,11,2023-11-03,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Terrassement,Câble SONEB sectionné,SONEB,Finisseur asphalte,SOBAC,924000,478000,336000.0,19,205.0,Réglé,PORTEO entière
TRC-2023-059,2023,11,2023-11-16,CH-012,RN7 Lokossa-Athiémé,Terrassement,Mono,Gros œuvre,Câble SBEE sectionné,SBEE,Chargeur,UAB,3718000,326000,2394000.0,20,104.0,Réglé,PORTEO partielle
TRC-2023-060,2023,6,2023-06-21,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Gros œuvre,Câble SBEE sectionné,SBEE,Camion benne,COLINA,5299000,1136000,,6,,En expertise,PORTEO entière
TRC-2023-061,2023,11,2023-11-10,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Terrassement,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,Allianz Bénin,2305000,746000,1434000.0,21,82.0,Réglé,PORTEO entière
TRC-2023-062,2023,11,2023-11-23,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Réception,Câble SBEE sectionné,SBEE,Niveleuse,Allianz Bénin,2798000,1307000,,9,,En cours,PORTEO partielle
TRC-2023-063,2023,3,2023-03-11,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Terrassement,Câble SONEB sectionné,SONEB,Niveleuse,SAAR-Bénin,596000,521000,53000.0,16,126.0,Réglé,Tiers responsable
TRC-2023-064,2023,7,2023-07-06,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Finition,Câble SBEE sectionné,SBEE,Niveleuse,NSIA Bénin,1605000,785000,605000.0,19,162.0,Réglé,Tiers responsable
TRC-2023-065,2023,12,2023-12-11,CH-021,Route Malanville-Karimama,Terrassement,Alibori,Installation chantier,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,SAAR-Bénin,4690000,648000,3860000.0,5,191.0,Litigieux,PORTEO partielle
TRC-2023-066,2023,9,2023-09-02,CH-005,Drainage Abomey-Calavi Nord,Drainage/assainissement,Atlantique,Terrassement,Dommages propriété riveraine,Riverain particulier,Chargeur,NSIA Bénin,6325000,330000,,12,,En cours,PORTEO entière
TRC-2023-067,2023,2,2023-02-21,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Terrassement,Conduite eau endommagée,SONEB,Bulldozer,COLINA,1359000,1423000,0.0,14,182.0,Réglé,PORTEO partielle
TRC-2023-068,2023,5,2023-05-11,CH-020,Voirie Allada-Tori,VRD,Atlantique,Finition,Conduite eau endommagée,SONEB,Chargeur,NSIA Bénin,2456000,1390000,787000.0,11,154.0,Réglé,PORTEO entière
TRC-2023-069,2023,6,2023-06-10,CH-015,RN2 Savè-Parakou Entretien,Bitumage,Collines,Terrassement,Effondrement de talus,Collectivité locale,Finisseur asphalte,SOBAC,9130000,1173000,7623000.0,15,158.0,Réglé,PORTEO entière
TRC-2023-070,2023,4,2023-04-19,CH-020,Voirie Allada-Tori,VRD,Atlantique,Terrassement,Câble SONEB sectionné,SONEB,Bulldozer,COLINA,768000,870000,,14,,En expertise,Tiers responsable
TRC-2023-071,2023,3,2023-03-14,CH-021,Route Malanville-Karimama,Terrassement,Alibori,Installation chantier,Accident corporel sur chantier,Travailleur / sous-traitant,Niveleuse,Allianz Bénin,14174000,967000,,7,,En cours,PORTEO partielle
TRC-2023-072,2023,10,2023-10-10,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Gros œuvre,Câble téléphonique sectionné,Bénin Télécom / MTN,Pelle hydraulique,BGFA Bénin,1474000,662000,673000.0,2,234.0,Réglé,PORTEO entière
TRC-2023-073,2023,4,2023-04-10,CH-021,Route Malanville-Karimama,Terrassement,Alibori,Installation chantier,Effondrement de talus,Collectivité locale,Rouleau vibrant,SOBAC,7337000,1085000,,9,,En expertise,PORTEO entière
TRC-2023-074,2023,1,2023-01-25,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Réception,Câble téléphonique sectionné,Bénin Télécom / MTN,Rouleau vibrant,SOBAC,1495000,1019000,393000.0,5,156.0,Réglé,PORTEO partielle
TRC-2023-075,2023,6,2023-06-24,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Terrassement,Câble SONEB sectionné,SONEB,Niveleuse,NSIA Bénin,300000,998000,0.0,10,222.0,Réglé,PORTEO entière
TRC-2023-076,2023,6,2023-06-21,CH-030,Voirie Kétou-Pobè Extension,VRD,Plateau,Terrassement,Accident corporel sur chantier,Travailleur / sous-traitant,Compacteur,BGFA Bénin,18259000,650000,,7,,En cours,PORTEO entière
TRC-2023-077,2023,9,2023-09-20,CH-025,Route Savalou-Bantè,Terrassement,Collines,Terrassement,Câble SONEB sectionné,SONEB,Camion benne,SOBAC,1149000,679000,,13,,En expertise,PORTEO partielle
TRC-2023-078,2023,3,2023-03-19,CH-012,RN7 Lokossa-Athiémé,Terrassement,Mono,Terrassement,Effondrement de talus,Collectivité locale,Niveleuse,NSIA Bénin,6349000,922000,4483000.0,8,132.0,Réglé,Tiers responsable
TRC-2023-079,2023,4,2023-04-08,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Finition,Câble SONEB sectionné,SONEB,Bulldozer,UAB,1152000,1036000,,16,,En expertise,PORTEO entière
TRC-2023-080,2023,11,2023-11-04,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Terrassement,Câble SONEB sectionné,SONEB,Rouleau vibrant,COLINA,367000,718000,,18,,En cours,PORTEO entière
TRC-2023-081,2023,9,2023-09-11,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Terrassement,Dommages propriété riveraine,Riverain particulier,Camion benne,Allianz Bénin,2659000,1277000,1275000.0,8,81.0,Réglé,PORTEO partielle
