id_sinistre,annee,mois,date_declaration,code_chantier,nom_chantier,type_travaux,departement,phase_chantier,nature_sinistre,tiers_implique,engin_implique,assureur,montant_declare_fcfa,franchise_fcfa,montant_indemnise_fcfa,delai_declaration_jours,delai_reglement_jours,statut_dossier,responsabilite
TRC-2023-082,2023,4,2023-04-03,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Pelle hydraulique,Allianz Bénin,3651000,393000,,5,,En cours,PORTEO partielle
TRC-2023-083,2023,1,2023-01-22,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Installation chantier,Conduite eau endommagée,SONEB,Bulldozer,COLINA,3188000,1390000,1400000.0,8,47.0,Réglé,PORTEO partielle
TRC-2023-084,2023,8,2023-08-07,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Terrassement,Dommages propriété riveraine,Riverain particulier,Chargeur,SAAR-Bénin,2256000,475000,,7,,En cours,PORTEO entière
TRC-2023-085,2023,10,2023-10-25,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Installation chantier,Conduite eau endommagée,SONEB,Compacteur,SOBAC,907000,382000,,8,,En expertise,PORTEO partielle
TRC-2023-086,2023,12,2023-12-06,CH-029,Route Covè-Zagnanado,Terrassement,Zou,Terrassement,Dommages propriété riveraine,Riverain particulier,Niveleuse,UAB,2277000,1170000,1040000.0,5,226.0,Litigieux,PORTEO entière
TRC-2023-087,2023,5,2023-05-12,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Installation chantier,Câble SBEE sectionné,SBEE,Rouleau vibrant,NSIA Bénin,5126000,789000,,18,,En cours,PORTEO entière
TRC-2023-088,2023,4,2023-04-25,CH-012,RN7 Lokossa-Athiémé,Terrassement,Mono,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Camion benne,SOBAC,3595000,349000,2370000.0,16,117.0,Réglé,PORTEO entière
TRC-2023-089,2023,5,2023-05-14,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Installation chantier,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Chargeur,Allianz Bénin,2894000,1328000,,2,,En expertise,PORTEO partielle
TRC-2023-090,2023,12,2023-12-16,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Installation chantier,Câble SONEB sectionné,SONEB,Bulldozer,SOBAC,1453000,1090000,268000.0,7,147.0,Réglé,PORTEO partielle
TRC-2023-091,2023,2,2023-02-07,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Câble SONEB sectionné,SONEB,Camion benne,BGFA Bénin,1156000,785000,301000.0,14,172.0,Réglé,PORTEO entière
TRC-2023-092,2023,6,2023-06-22,CH-020,Voirie Allada-Tori,VRD,Atlantique,Réception,Accident corporel sur chantier,Travailleur / sous-traitant,Rouleau vibrant,Allianz Bénin,19794000,914000,15448000.0,6,76.0,Réglé,PORTEO entière
TRC-2023-093,2023,1,2023-01-24,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Installation chantier,Effondrement de talus,Collectivité locale,Bulldozer,BGFA Bénin,5086000,332000,4075000.0,4,128.0,Réglé,PORTEO entière
TRC-2023-094,2023,8,2023-08-17,CH-025,Route Savalou-Bantè,Terrassement,Collines,Installation chantier,Câble téléphonique sectionné,Bénin Télécom / MTN,Pelle hydraulique,BGFA Bénin,528000,652000,0.0,3,183.0,Réglé,PORTEO entière
TRC-2023-095,2023,12,2023-12-04,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Finition,Câble téléphonique sectionné,Bénin Télécom / MTN,Camion benne,SOBAC,510000,831000,0.0,7,213.0,Réglé,PORTEO partielle
TRC-2023-096,2023,7,2023-07-05,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Installation chantier,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,UAB,1341000,431000,,19,,En cours,PORTEO partielle
TRC-2023-097,2023,10,2023-10-17,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Installation chantier,Câble SBEE sectionné,SBEE,Camion benne,SAAR-Bénin,3646000,1465000,,3,,En cours,PORTEO entière
TRC-2023-098,2023,1,2023-01-02,CH-005,Drainage Abomey-Calavi Nord,Drainage/assainissement,Atlantique,Terrassement,Effondrement de talus,Collectivité locale,Finisseur asphalte,SAAR-Bénin,8639000,1190000,6941000.0,13,132.0,Réglé,PORTEO entière
TRC-2023-099,2023,6,2023-06-02,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Terrassement,Câble SONEB sectionné,SONEB,Niveleuse,NSIA Bénin,1099000,675000,373000.0,19,123.0,Réglé,PORTEO entière
TRC-2023-100,2023,6,2023-06-15,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Gros œuvre,Effondrement de talus,Collectivité locale,Chargeur,UAB,6577000,1382000,4577000.0,20,195.0,Réglé,PORTEO entière
TRC-2023-101,2023,6,2023-06-19,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Terrassement,Dommages propriété riveraine,Riverain particulier,Niveleuse,COLINA,1377000,1110000,222000.0,11,240.0,Réglé,PORTEO partielle
TRC-2023-102,2023,6,2023-06-14,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Gros œuvre,Câble téléphonique sectionné,Bénin Télécom / MTN,Camion benne,SAAR-Bénin,502000,1245000,,3,,En expertise,PORTEO entière
TRC-2023-103,2023,6,2023-06-19,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Chargeur,SAAR-Bénin,2485000,1450000,,4,,En cours,PORTEO entière
TRC-2023-104,2023,8,2023-08-17,CH-016,Route Djougou-Bassila,Terrassement,Donga,Terrassement,Câble SBEE sectionné,SBEE,Camion benne,UAB,1993000,392000,,19,,En expertise,PORTEO entière
TRC-2023-105,2023,6,2023-06-14,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Installation chantier,Câble SONEB sectionné,SONEB,Niveleuse,COLINA,1002000,1106000,0.0,17,205.0,Réglé,PORTEO partielle
TRC-2023-106,2023,5,2023-05-27,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Accident corporel sur chantier,Travailleur / sous-traitant,Finisseur asphalte,COLINA,14510000,1066000,,3,,En expertise,PORTEO partielle
TRC-2023-107,2023,7,2023-07-12,CH-015,RN2 Savè-Parakou Entretien,Bitumage,Collines,Terrassement,Câble SONEB sectionné,SONEB,Bulldozer,SOBAC,3091000,1122000,1601000.0,8,126.0,Réglé,PORTEO partielle
TRC-2023-108,2023,10,2023-10-09,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Terrassement,Câble SBEE sectionné,SBEE,Compacteur,BGFA Bénin,3411000,1124000,1743000.0,11,83.0,Réglé,PORTEO entière
TRC-2023-109,2023,7,2023-07-18,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Finition,Câble SBEE sectionné,SBEE,Niveleuse,SOBAC,3570000,542000,2143000.0,3,116.0,Réglé,PORTEO partielle
TRC-2024-110,2024,10,2024-10-02,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Terrassement,Effondrement de talus,Collectivité locale,Bulldozer,UAB,7183000,658000,6188000.0,6,138.0,Réglé,PORTEO partielle
TRC-2024-111,2024,5,2024-05-19,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Câble téléphonique sectionné,Bénin Télécom / MTN,Bulldozer,Allianz Bénin,220000,1097000,0.0,21,179.0,Réglé,PORTEO entière
TRC-2024-112,2024,3,2024-03-26,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Câble SBEE sectionné,SBEE,Finisseur asphalte,Allianz Bénin,3054000,768000,,6,,En cours,PORTEO entière
TRC-2024-113,2024,3,2024-03-07,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Terrassement,Câble téléphonique sectionné,Bénin Télécom / MTN,Finisseur asphalte,UAB,654000,1007000,0.0,9,73.0,Réglé,PORTEO entière
TRC-2024-114,2024,12,2024-12-26,CH-030,Voirie Kétou-Pobè Extension,VRD,Plateau,Installation chantier,Câble SONEB sectionné,SONEB,Pelle hydraulique,SOBAC,4000000,741000,2828000.0,9,200.0,Réglé,PORTEO entière
TRC-2024-115,2024,5,2024-05-13,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Gros œuvre,Conduite eau endommagée,SONEB,Compacteur,BGFA Bénin,1272000,1384000,,16,,En cours,PORTEO entière
TRC-2024-116,2024,6,2024-06-13,CH-030,Voirie Kétou-Pobè Extension,VRD,Plateau,Terrassement,Incendie de matériel,PORTEO BTP (bien propre),Compacteur,BGFA Bénin,25861000,408000,,7,,En expertise,PORTEO entière
TRC-2024-117,2024,11,2024-11-21,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Effondrement de talus,Collectivité locale,Finisseur asphalte,BGFA Bénin,7342000,788000,6064000.0,12,170.0,Réglé,PORTEO entière
TRC-2024-118,2024,9,2024-09-27,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Gros œuvre,Effondrement de talus,Collectivité locale,Rouleau vibrant,SOBAC,3935000,908000,2593000.0,2,185.0,Réglé,PORTEO partielle
TRC-2024-119,2024,9,2024-09-21,CH-021,Route Malanville-Karimama,Terrassement,Alibori,Installation chantier,Câble SONEB sectionné,SONEB,Bulldozer,NSIA Bénin,2054000,1069000,741000.0,7,123.0,Réglé,PORTEO entière
TRC-2024-120,2024,5,2024-05-23,CH-025,Route Savalou-Bantè,Terrassement,Collines,Gros œuvre,Effondrement de talus,Collectivité locale,Chargeur,UAB,11316000,1316000,,17,,En cours,PORTEO partielle
TRC-2024-121,2024,10,2024-10-05,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Gros œuvre,Câble SONEB sectionné,SONEB,Finisseur asphalte,BGFA Bénin,1693000,693000,722000.0,20,139.0,Réglé,PORTEO entière
TRC-2024-122,2024,5,2024-05-01,CH-030,Voirie Kétou-Pobè Extension,VRD,Plateau,Gros œuvre,Conduite eau endommagée,SONEB,Niveleuse,NSIA Bénin,858000,574000,233000.0,14,112.0,Réglé,PORTEO partielle
TRC-2024-123,2024,8,2024-08-20,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Réception,Câble SONEB sectionné,SONEB,Rouleau vibrant,BGFA Bénin,2370000,504000,1313000.0,17,179.0,Réglé,PORTEO entière
TRC-2024-124,2024,3,2024-03-23,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Finition,Câble SONEB sectionné,SONEB,Compacteur,COLINA,507000,1239000,0.0,8,78.0,Réglé,PORTEO entière
TRC-2024-125,2024,12,2024-12-10,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Installation chantier,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,Allianz Bénin,4143000,790000,2600000.0,13,112.0,Réglé,PORTEO entière
TRC-2024-126,2024,8,2024-08-21,CH-015,RN2 Savè-Parakou Entretien,Bitumage,Collines,Installation chantier,Câble SONEB sectionné,SONEB,Compacteur,SOBAC,3654000,1346000,0.0,14,,Refusé,PORTEO entière
TRC-2024-127,2024,9,2024-09-24,CH-020,Voirie Allada-Tori,VRD,Atlantique,Terrassement,Câble SONEB sectionné,SONEB,Pelle hydraulique,NSIA Bénin,635000,371000,201000.0,10,135.0,Réglé,Tiers responsable
TRC-2024-128,2024,7,2024-07-13,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Gros œuvre,Incendie de matériel,PORTEO BTP (bien propre),Niveleuse,SAAR-Bénin,16046000,459000,,7,,En expertise,PORTEO entière
TRC-2024-129,2024,7,2024-07-11,CH-029,Route Covè-Zagnanado,Terrassement,Zou,Terrassement,Câble téléphonique sectionné,Bénin Télécom / MTN,Niveleuse,UAB,668000,1152000,0.0,10,125.0,Réglé,PORTEO entière
TRC-2024-130,2024,9,2024-09-14,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Terrassement,Accident corporel sur chantier,Travailleur / sous-traitant,Chargeur,SOBAC,8809000,1296000,6269000.0,17,156.0,Litigieux,PORTEO partielle
TRC-2024-131,2024,9,2024-09-05,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Gros œuvre,Effondrement de talus,Collectivité locale,Rouleau vibrant,SAAR-Bénin,3189000,1258000,1426000.0,7,103.0,Réglé,PORTEO entière
TRC-2024-132,2024,9,2024-09-14,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Finition,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Bulldozer,BGFA Bénin,4022000,349000,3248000.0,6,169.0,Réglé,PORTEO entière
TRC-2024-133,2024,3,2024-03-03,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Terrassement,Effondrement de talus,Collectivité locale,Pelle hydraulique,COLINA,4172000,502000,2829000.0,20,214.0,Réglé,PORTEO entière
TRC-2024-134,2024,5,2024-05-03,CH-008,RN3 Kandi-Ségbana,Terrassement,Alibori,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Chargeur,COLINA,3893000,1365000,2217000.0,5,219.0,Réglé,PORTEO entière
TRC-2024-135,2024,10,2024-10-05,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Gros œuvre,Câble SONEB sectionné,SONEB,Chargeur,NSIA Bénin,661000,1091000,0.0,21,197.0,Réglé,PORTEO partielle
TRC-2024-136,2024,11,2024-11-11,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Finition,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Pelle hydraulique,SOBAC,9084000,1256000,7237000.0,4,209.0,Réglé,PORTEO entière
TRC-2024-137,2024,8,2024-08-20,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Terrassement,Câble SONEB sectionné,SONEB,Pelle hydraulique,BGFA Bénin,712000,588000,,8,,En cours,PORTEO entière
TRC-2024-138,2024,4,2024-04-25,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Gros œuvre,Câble SBEE sectionné,SBEE,Camion benne,SOBAC,2595000,1085000,1250000.0,21,155.0,Réglé,PORTEO partielle
TRC-2024-139,2024,4,2024-04-22,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Installation chantier,Effondrement de talus,Collectivité locale,Finisseur asphalte,NSIA Bénin,11706000,888000,,15,,En expertise,PORTEO entière
TRC-2024-140,2024,10,2024-10-20,CH-006,RN1 Cotonou-Ouidah Réhabilitation,Bitumage,Atlantique,Installation chantier,Câble téléphonique sectionné,Bénin Télécom / MTN,Niveleuse,UAB,321000,349000,0.0,18,102.0,Réglé,PORTEO entière
TRC-2024-141,2024,8,2024-08-17,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Installation chantier,Câble SBEE sectionné,SBEE,Camion benne,BGFA Bénin,3511000,1389000,1567000.0,9,77.0,Réglé,PORTEO partielle
TRC-2024-142,2024,7,2024-07-10,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Terrassement,Câble SONEB sectionné,SONEB,Camion benne,SAAR-Bénin,2248000,354000,1535000.0,10,69.0,Réglé,PORTEO entière
TRC-2024-143,2024,8,2024-08-25,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Gros œuvre,Câble SONEB sectionné,SONEB,Pelle hydraulique,NSIA Bénin,453000,855000,,15,,En cours,PORTEO partielle
TRC-2024-144,2024,10,2024-10-10,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Installation chantier,Conduite eau endommagée,SONEB,Niveleuse,Allianz Bénin,1565000,1104000,,7,,En cours,PORTEO entière
TRC-2024-145,2024,2,2024-02-20,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Terrassement,Effondrement de talus,Collectivité locale,Rouleau vibrant,SOBAC,8633000,941000,5618000.0,14,88.0,Réglé,PORTEO partielle
TRC-2024-146,2024,10,2024-10-24,CH-020,Voirie Allada-Tori,VRD,Atlantique,Terrassement,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,BGFA Bénin,4612000,1276000,,11,,En cours,PORTEO partielle
TRC-2024-147,2024,3,2024-03-05,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Gros œuvre,Câble SONEB sectionné,SONEB,Compacteur,UAB,555000,1135000,0.0,19,168.0,Réglé,PORTEO entière
TRC-2024-148,2024,5,2024-05-10,CH-025,Route Savalou-Bantè,Terrassement,Collines,Installation chantier,Câble téléphonique sectionné,Bénin Télécom / MTN,Rouleau vibrant,UAB,306000,326000,0.0,2,224.0,Réglé,PORTEO entière
TRC-2024-149,2024,10,2024-10-19,CH-008,RN3 Kandi-Ségbana,Terrassement,Alibori,Gros œuvre,Câble SONEB sectionné,SONEB,Finisseur asphalte,UAB,1460000,1301000,112000.0,17,206.0,Réglé,PORTEO partielle
TRC-2024-150,2024,9,2024-09-20,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Conduite eau endommagée,SONEB,Rouleau vibrant,Allianz Bénin,1665000,885000,666000.0,3,201.0,Réglé,Tiers responsable
TRC-2024-151,2024,7,2024-07-14,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Terrassement,Câble SBEE sectionné,SBEE,Chargeur,UAB,3556000,1371000,1798000.0,15,171.0,Réglé,PORTEO entière
TRC-2024-152,2024,1,2024-01-10,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Câble SONEB sectionné,SONEB,Rouleau vibrant,Allianz Bénin,1325000,579000,699000.0,11,131.0,Réglé,Tiers responsable
TRC-2024-153,2024,9,2024-09-13,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Gros œuvre,Effondrement de talus,Collectivité locale,Niveleuse,COLINA,5148000,1182000,,8,,En cours,PORTEO partielle
TRC-2024-154,2024,5,2024-05-24,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Terrassement,Conduite eau endommagée,SONEB,Finisseur asphalte,UAB,1607000,539000,,11,,En cours,PORTEO entière
TRC-2024-155,2024,5,2024-05-18,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Terrassement,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Pelle hydraulique,BGFA Bénin,4550000,613000,,4,,En cours,PORTEO entière
TRC-2024-156,2024,6,2024-06-04,CH-020,Voirie Allada-Tori,VRD,Atlantique,Gros œuvre,Câble SONEB sectionné,SONEB,Pelle hydraulique,BGFA Bénin,740000,884000,0.0,19,,Refusé,PORTEO partielle
TRC-2024-157,2024,5,2024-05-05,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Installation chantier,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,BGFA Bénin,8371000,1103000,,16,,En cours,Tiers responsable
TRC-2024-158,2024,12,2024-12-25,CH-004,Pont sur Mono à Lokossa,Ouvrage d'art,Mono,Gros œuvre,Incendie de matériel,PORTEO BTP (bien propre),Pelle hydraulique,COLINA,28432000,1032000,,5,,En expertise,PORTEO entière
TRC-2024-159,2024,4,2024-04-04,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Terrassement,Câble SONEB sectionné,SONEB,Rouleau vibrant,SOBAC,569000,1174000,,5,,En cours,PORTEO partielle
TRC-2024-160,2024,4,2024-04-12,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Terrassement,Dommages propriété riveraine,Riverain particulier,Rouleau vibrant,SAAR-Bénin,4305000,542000,3387000.0,11,46.0,Litigieux,PORTEO entière
TRC-2024-161,2024,7,2024-07-03,CH-009,VRD Porto-Novo Centre,VRD,Ouémé,Gros œuvre,Câble SBEE sectionné,SBEE,Finisseur asphalte,BGFA Bénin,1813000,733000,,9,,En cours,PORTEO entière
TRC-2024-162,2024,4,2024-04-14,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Finition,Accident corporel sur chantier,Travailleur / sous-traitant,Pelle hydraulique,SOBAC,17913000,1442000,14451000.0,18,52.0,Réglé,PORTEO entière
TRC-2024-163,2024,11,2024-11-03,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Réception,Câble SBEE sectionné,SBEE,Niveleuse,COLINA,5860000,497000,4813000.0,3,214.0,Réglé,Tiers responsable
TRC-2024-164,2024,12,2024-12-23,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Installation chantier,Conduite eau endommagée,SONEB,Chargeur,SAAR-Bénin,901000,655000,216000.0,2,186.0,Réglé,PORTEO partielle
TRC-2024-165,2024,10,2024-10-17,CH-020,Voirie Allada-Tori,VRD,Atlantique,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Chargeur,BGFA Bénin,19737000,835000,15907000.0,14,203.0,Réglé,PORTEO partielle
TRC-2024-166,2024,9,2024-09-10,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Terrassement,Câble SONEB sectionné,SONEB,Camion benne,Allianz Bénin,1375000,1170000,,4,,En cours,PORTEO entière
